Nome,Descrizione,Scadenza,Disponibile Da...A,Pezzi per cartone,Formati,codice EAN,"VALORI NUTRIZIONALI MEDI 
per 100 g di prodotto:",umidità,allergeni,MARCHI,Categoria
Zuppa Contadina,"La Zuppa Contadina  contiene orzo perlato, piselli decorticati, lenticchie rosse e gialle decorticate, favette decorticate,
 questi prodotti sono tutti coltivati nella nostra azienda in Appennino e lavorati direttamente da noi.L’orzo perlato offre una base morbida e leggermente nocciolata, 
mentre le lenticchie rosse e gialle aggiungono dolcezza e cremosità.
 I piselli spezzati donano una nota delicata e le favette spezzate arricchiscono il piatto con una sfumatura intensa e piena, creando un equilibrio perfetto di sapori. ",da 12 a 18 mesi,,12,400g/5Kg/25Kg,8058301310016,"Energia 929 KJ-457 Kcal -
Grassi 1,9 g di cui acidi 
grassi saturi 0,2 g -
Carboidrati 80,1 g di cui
zuccheri 1,8 g - Fibre 17 g
-Proteine 21 g - Sale 0,01g",Grado di umidità 14%,"Può contenere Glutine 
in quanto i macchinari utilizzati
lavorano anche cereali","Prodotto di Montagna

Senza Ammollo",zuppe e risotti
Zuppa Del Montanaro,"La Zuppa del Montanaro contiene orzo perlato, farro dicocco decorticato e lenticchie, questi prodotti sono tutti coltivati nella nostra azienda in 
Appennino e lavorati direttamente da noi.Il gusto della Zuppa del Montanaro è pieno e avvolgente: Le lenticchie aggiungono dolcezza che arricchisce il 
mix di farro e orzo. La combinazione perfetta di cereali e legumi rende questo piatto equilibrato e nutriente. 
Questa zuppa è un ottimo prodotto gustato da solo ma può essere anche un'ottima base per la preparazione di innumerevoli piatti .",da 12 a 18 mesi,,12,400g/5Kg/25Kg,8058301310054,"Energia 1580 KJ-374 Kcal -
Grassi 2,2 g di cui acidi 
grassi saturi 0,6 g -
Carboidrati 75,1 g di cui
zuccheri 2,2 g - Fibre 16 g
-Proteine 21 g - Sale 0,01g",Grado di umidità 14%,"Può contenere Glutine 
in quanto i macchinari utilizzati
lavorano anche cereali","Prodotto di Montagna

Senza Ammollo",zuppe e risotti
Zuppa Burlone,"La Zuppa del Burlone contiene fagioli borlotti, fagioli cannellini, ceci, piselli decorticati e lenticchie gialle decorticate, 
questi prodotti sono tutti coltivati nella nostra azienda in Appennino e lavorati direttamente da noi.Il gusto della Zuppa del Burlone è un viaggio tra sapori intensi e
 sfumature delicate: la cremosità avvolgente dei borlotti si sposa con la dolcezza dei cannellini e la corposità dei ceci. I piselli decorticati  
aggiungono una nota fresca e le lenticchie gialle chiudono il cerchio con un tocco dolce e delicato, creando un’armonia che conquista al primo assaggio.
Ricca di nutrienti essenziali e perfetta per ogni stagione.",da 12 a 18 mesi,,12,400g/5Kg/25Kg,8058301310115,"Energia 2932 KJ-690Kcal -
Grassi 5,2 g di cui acidi 
grassi saturi 0,7 g -
Carboidrati 80,1 g di cui
zuccheri 3,2 g - Fibre 29 g
-Proteine 38 g - Sale 0,01g",Grado di umidità 14%,"Può contenere Glutine 
in quanto i macchinari utilizzati
lavorano anche cereali","Prodotto di Montagna

Senza Cereali",zuppe e risotti
Risoltto ai Funghi Porcini,"Il nostro Risotto ai Funghi Porcini è un prodotto preparato nella nostra azienda. è un piatto che racchiude tutto il profumo e il sapore della natura.
 I funghi porcini, raccolti nei boschi Appenninici e fatti essiccare naturalmente, conservano intatto il loro aroma inconfondibile, mentre il riso coltivato nelle zone di Carpi (MO) 
garantisce una cottura perfetta e una cremosità irresistibile. Questo risotto è già perfettamente condito con il giusto tocco di brodo e sale, per una preparazione semplice 
e dal risultato impeccabile.Bastano acqua e un goccio di vino bianco per esaltare il suo sapore e ottenere una consistenza cremosa e avvolgente. Ideale per chi ama la 
cucina genuina ma ha poco tempo.",da 12 a 18 mesi,,12,,8058301310986,,Grado di umidità 14%,"Può contenere Glutine 
in quanto i macchinari utilizzati
lavorano anche cereali",100% Riso Italiano,zuppe e risotti
Risotto allo Zafferano,"Il nostro Risotto al Tartufo Nero Uncinato è un prodotto preparato nella nostra azienda. è un piatto che esalta il gusto raffinato di uno degli 
ingredienti più pregiati della tradizione italiana. Realizzato con tartufo nero uncinato D’Appennino, questo risotto è già delicatamente aromatizzato 
e bilanciato, con il giusto tocco di brodo e sale, per una preparazione semplice e dal risultato impeccabile. Ill riso coltivato nelle zone di Carpi (MO) 
garantisce una cottura perfetta e una cremosità irresistibile. Basta aggiungere acqua e un goccio di vino bianco per sprigionare il profumo 
inconfondibile del tartufo e ottenere una consistenza cremosa e vellutata. Un’esperienza di gusto unica, perfetta per chi desidera portare in tavola
un piatto sofisticato e genuino in pochi minuti.",da 12 a 18 mesi,,12,,8058301310993,,Grado di umidità 14%,"Può contenere Glutine 
in quanto i macchinari utilizzati
lavorano anche cereali",100% Riso Italiano,zuppe e risotti
Risotto al Tartufo Nero Uncinato,"Il nostro Risotto allo Zafferano è un prodotto preparato nella nostra azienda. è un piatto che celebra l’eleganza e l’intensità di uno degli ingredienti
 più preziosi: lo zafferano puro in Pistilli. Lo zafferano sprigiona tutto il suo profumo avvolgente e il colore dorato, donando al risotto un gusto raffinato
 e inconfondibile.Preparato con riso coltivato nelle zone di Carpi (MO) e un perfetto equilibrio di aromi naturali, questo risotto è già delicatamente
 condito, pronto per essere cucinato con la sola aggiunta di acqua e un goccio di vino bianco. In pochi minuti, otterrai un piatto cremoso e
 irresistibile, perfetto per un pasto genuino e ricco di tradizione.",da 12 a 18 mesi,,12,,8058301311006,,Grado di umidità 14%,"Può contenere Glutine 
in quanto i macchinari utilizzati
lavorano anche cereali",100% Riso Italiano,zuppe e risotti
Fagioli Borlotti,"I nostri Fagioli Borlotti sono tutti coltivati nella nostra azienda in Appennino e lavorati direttamente da noi. Carnosi, saporiti e naturalmente cremosi, 
i Fagioli Borlotti sono l’ingrediente ideale per esaltare ogni piatto con autenticità e gusto. Il loro caratteristico colore screziato racchiude un cuore morbido e avvolgente,
 perfetto per zuppe, minestre e ricette della tradizione. Dal sapore pieno e leggermente dolce, si sposano magnificamente con verdure e cereali. Ricchi di proteine,
fibre e minerali, sono una scelta sana e genuina per chi ama mangiare bene senza rinunciare alla qualità.",da 12 a 18 mesi,,12,"500g / Kg /
(5Kg e 25Kg su
 ordinazione)",8058301310481,"Energia 1430 KJ-342Kcal -
Grassi 2,0 g di cui acidi 
grassi saturi 0,5 g -
Carboidrati 59,3 g di cui
zuccheri 3,5 g - Fibre 19,2 g
-Proteine 21 g - Sale 0,001g",Grado di umidità 14%,"Può contenere Glutine 
in quanto i macchinari utilizzati
lavorano anche cereali",Prodotto di Montagna,"legumi e
farina di legumi"
Fagioli Cannellini,"I nostri Fagioli Cannellini sono tutti coltivati nella nostra azienda in Appennino e lavorati direttamente da noi.Dal sapore raffinato e dalla consistenza morbida,
 i Fagioli Cannellini sono un ingrediente versatile e nutriente, perfetto per arricchire ogni piatto con gusto ed equilibrio. Il loro colore chiaro e 
la consistenza vellutata li rendono ideali per insalate fresche e contorni leggeri, esaltando ogni preparazione con una nota delicata ma piena di 
carattere.Naturale fonte di proteine e fibre. Gustali in ricette tradizionali o sperimentali e lasciati conquistare dalla loro inconfondibile cremosità.",da 12 a 18 mesi,,12,"500/kg/
(5Kg e 25Kg su
 ordinazione)",8058301310504,"Energia 1168 KJ-280Kcal -
Grassi 1,6 g di cui acidi 
grassi saturi 0,2 g -
Carboidrati 45,5 g di cui
zuccheri 2,8 g - Fibre 18 g
-Proteine 23,4 g - Sale 0,001g",Grado di umidità 14%,"Può contenere Glutine 
in quanto i macchinari utilizzati
lavorano anche cereali",Prodotto di Montagna,"legumi e
farina di legumi"
Fagiolo Giallorino,"I nostri Fagioli Giallorini sono tutti coltivati nella nostra azienda in Appennino e lavorati direttamente da noi.Dalla tonalità calda il Fagiolo Giallorino sono
 una varietà dal fascino unico dal colore dorato. Questi fagioli si distinguono per il loro sapore delicato ma ricco e la consistenza che li rende perfetti per essere utilizzati
 in una vasta gamma di piatti. è un’ottima scelta per chi cerca gusto e benessere in un unico ingrediente.Il Giallorino è molto simile al cannellino ma molto più 
saporito ed è un fagiolo antico dell’Appennino sia Tosco che Emiliano.",da 12 a 18 mesi,,12,"400/kg/
(5Kg e 25Kg su
 ordinazione)",8058301310535,"Energia 1168 KJ-280Kcal -
Grassi 1,6 g di cui acidi 
grassi saturi 0,2 g -
Carboidrati 45,5 g di cui
zuccheri 2,8 g - Fibre 18 g
-Proteine 23,4 g - Sale 0,001g",Grado di umidità 14%,"Può contenere Glutine 
in quanto i macchinari utilizzati
lavorano anche cereali","Prodotto di Montagna

Varietà Antica","legumi e
farina di legumi"
Fagiolo Dolico Dall'Occhio,"I nostri Fagioli Dolico dall’Occhio sono tutti coltivati nella nostra azienda in Appennino e lavorati direttamente da noi.Antico e riconoscibile dal suo inconfondibile
 “occhio nero”che contrasta con il bianco del chicco, il Fagiolo Dolico dall’Occhio è tra i legumi più leggeri e digeribili, questi fagioli si distinguono per il loro sapore unico
 e deciso, che li rende perfetti per piatti che richiedono un legume robusto e pieno di carattere. Con il suo sapore delicato e lievemente erbaceo, è ideale per piatti 
freschi, insalate e ricette a base di verdure.Questo fagiolo, apprezzato da secoli per la sua versatilità.",da 12 a 18 mesi,,12,"400/kg/
(5Kg e 25Kg su
 ordinazione)",8058301310528,"Energia 1226 KJ-290Kcal -
Grassi 1,4 g di cui acidi 
grassi saturi 0,2 g -
Carboidrati 50,8 g di cui
zuccheri 4,1 g - Fibre 12,7 g
-Proteine 22,4 g - Sale 0,001g",Grado di umidità 14%,"Può contenere Glutine 
in quanto i macchinari utilizzati
lavorano anche cereali","Prodotto di Montagna

Varietà Antica","legumi e
farina di legumi"
Fagiolo Adzuki Verde,"I nostri Fagioli Adzuki Verdi sono tutti coltivati nella nostra azienda in Appennino e lavorati direttamente da noi.I Fagioli Adzuki Verdi sono un tesoro della natura, 
apprezzati per la loro delicatezza e il gusto naturalmente dolce. Dal colore verde intenso e dalla consistenza morbida, questi fagioli sono perfetti per essere utilizzati
in piatti leggeri, ma anche nelle preparazioni dolci, come paste per dolci e dessert. Il loro sapore più delicato rispetto alla varietà rossa li rende un ingrediente ideale
per piatti che richiedono una base di legume più sottile, ma altrettanto nutriente. Sono ideali per preparare quello che viene chiamato Germogli di Soia. ",da 12 a 18 mesi,,12,"400/kg/
(5Kg e 25Kg su
 ordinazione)",8058301310559,"Energia 1403 KJ-335Kcal -
Grassi 0,4 g di cui acidi 
grassi saturi 0,4 g -
Carboidrati 59,9 g di cui
zuccheri 3,3 g - Fibre 11,7 g
-Proteine 16,9 g - Sale 0,001g",Grado di umidità 14%,"Può contenere Glutine 
in quanto i macchinari utilizzati
lavorano anche cereali","Prodotto di Montagna

Senza Ammollo","legumi e
farina di legumi"
Fagiolo Adzuki Rosso,"I nostri Fagioli Adzuki Rossi sono tutti coltivati nella nostra azienda in Appennino e lavorati direttamente da noi. Questi fagioli sono legumi pregiati,
piccoli ma ricchi di carattere. Con il loro colore rosso brillante e la consistenza compatta, questi fagioli sono perfetti per piatti che richiedono un legume che mantenga 
la forma anche durante la cottura o piatti dolci e salati.Oltre al loro sapore unico,delicato, ma deciso, i Fagioli Adzuki Rossi sono dolcissimi e un'ottima fonte di proteine 
vegetali, fibre e minerali. Sono anche noti per le loro proprietà digestive e depurative.Vengono utilizzati in Giappone per la Marmellata di Fagioli.",da 12 a 18 mesi,,12,"400/kg/
(5Kg e 25Kg su
 ordinazione)",8058301310542,"Energia 1403 KJ-335Kcal -
Grassi 0,4 g di cui acidi 
grassi saturi 0,4 g -
Carboidrati 59,9 g di cui
zuccheri 3,3 g - Fibre 11,7 g
-Proteine 16,9 g - Sale 0,001g",Grado di umidità 14%,"Può contenere Glutine 
in quanto i macchinari utilizzati
lavorano anche cereali",Prodotto di Montagna,"legumi e
farina di legumi"
Fagiolo Barba Di Frate,"I nostri Fagioli Barba di Frate sono tutti coltivati nella nostra azienda in Appennino e lavorati direttamente da noi. Il Fagiolo Barba di Frate è un legume che porta 
con sé una lunga tradizione contadina, unendo sapore, originalità e un fascino unico. Questo fagiolo prende il nome dalla sua forma particolare, che ricorda la
 ""barba"" dei frati, con un caratteristico filamento che si estende dalla parte superiore del chicco. La sua buccia sottile e il suo cuore tenero lo rendono un
 legume delicato e raffinato, ideale per chi cerca piatti leggeri ma ricchi di gusto.Ricco di proteine e sali minerali. Un fagiolo dal sapore antico, pronto a riportarti
alla tradizione con ogni assaggio.",da 12 a 18 mesi,,12,"400/Kg/
(5Kg e 25Kg su
 ordinazione)",8058301310228,"Energia 119 KJ-286Kcal -
Grassi 2,1g di cui acidi 
grassi saturi 0,4 g -
Carboidrati 33,8 g di cui
zuccheri 2,3 g - Fibre 24 g
-Proteine 20g - Sale 0,001g",Grado di umidità 14%,"Può contenere Glutine 
in quanto i macchinari utilizzati
lavorano anche cereali",Prodotto di Montagna,"legumi e
farina di legumi"
Fagiolo Zolfino,"I nostri Fagioli Zolfini sono tutti coltivati nella nostra azienda in Appennino e lavorati direttamente da noi. Piccolo, dal colore dorato e dalla buccia sottilissima,
 il Fagiolo Zolfino è un vero gioiello della tradizione. La sua consistenza incredibilmente cremosa lo rende perfetto per piatti semplici ma raffinati. La sua tenerezza è
 unica, così come il suo sapore leggermente dolce, capace di conquistare anche i palati più esigenti.Un legume antico,raro e prezioso, da gustare
lentamente per apprezzarne tutta l’intensità.",da 12 a 18 mesi,,12,"400/kg/
(5Kg e 25Kg su
 ordinazione)",8058301310566,"Energia 1168 KJ-280Kcal -
Grassi 1,6 g di cui acidi 
grassi saturi 0,2 g -
Carboidrati 45,5 g di cui
zuccheri 2,8 g - Fibre 18 g
-Proteine 23,4 g - Sale 0,001g",Grado di umidità 14%,"Può contenere Glutine 
in quanto i macchinari utilizzati
lavorano anche cereali","Prodotto di Montagna

Varietà Antica","legumi e
farina di legumi"
Fagiolo Corona,"I nostri Fagioli Corona sono tutti coltivati nella nostra azienda in Appennino e lavorati direttamente da noi.Maestosi per dimensione e straordinari per sapore, 
i Fagioli Corona sono un’eccellenza culinaria capace di trasformare ogni piatto in un’esperienza ricca e appagante. La loro polpa soda e carnosa si sposa 
perfettamente con condimenti decisi e verdure, rendendoli ideali per insalate rustiche, zuppe corpose e piatti dal carattere autentico.Dal gusto delicatamente 
cremoso e dalla consistenza avvolgente, questi fagioli sono un’ottima fonte di proteine e fibre.",da 12 a 18 mesi,,12,"400/kg/
(5Kg e 25Kg su
 ordinazione)",8058301310597,"Energia 1198 KJ-286Kcal -
Grassi 2,1 g di cui acidi 
grassi saturi 0,4 g -
Carboidrati 34 g di cui
zuccheri 2,3 g - Fibre 25 g
-Proteine 20 g - Sale 0,001g",Grado di umidità 14%,"Può contenere Glutine 
in quanto i macchinari utilizzati
lavorano anche cereali","Prodotto di Montagna

Varietà Antica","legumi e
farina di legumi"
Fagiolo Diavolo Rosso,"I nostri Fagioli Diavoli Rossi sono tutti coltivati nella nostra azienda in Appennino e lavorati direttamente da noi.Vivace nel colore, deciso nel
sapore e di dimensioni spiccate, il Fagiolo Diavolo Rosso è un legume che non passa inosservato, grazie al suo colore rosso e al sapore deciso e pieno. 
Il Fagiolo Diavolo Rosso è in grado di esaltare ogni piatto con il suo gusto forte e avvolgente: il gusto leggermente tostato e la consistenza burrosa  
lo rendono ideale per piatti strutturati. I Fagioli Diavoli Rossi sono ricchi di proteine, fibre e antiossidanti, beneficiando di un'eccellente proprietà. 
Il loro contenuto di ferro, vitamine e minerali li rende un alimento ideale per chi cerca un piatto sano, ricco e saporito.",da 12 a 18 mesi,,12,"400/kg/
(5Kg e 25Kg su
 ordinazione)",8058301310573,"Energia 1323 KJ-316Kcal -
Grassi 1,6 g di cui acidi 
grassi saturi 0,2 g -
Carboidrati 34 g di cui
zuccheri 2,5 g - Fibre 22 g
-Proteine 20 g - Sale 0,001g",Grado di umidità 14%,"Può contenere Glutine 
in quanto i macchinari utilizzati
lavorano anche cereali","Prodotto di Montagna

Varietà Antica","legumi e
farina di legumi"
Farina di Fagioli,"La Farina di fagioli viene macinata direttamente da noi nel nostro mulino. Questa farina dal colore chiaro e dalla consistenza fine, la Farina di Fagioli
 si distingue grazie alla sua versatilità,è ideale per piatti speciali e ricette saporite: vellutate, paste fresche, creme, gnocchi di legumi… 
Oltre al suo utilizzo culinario, questa farina è una vera e propria alleata del benessere. Ricca di proteine ​​vegetali, fibre e minerali come ferro e magnesio,
contribuisce a un'alimentazione equilibrata e saziante, ideale per chi cerca di ridurre il consumo di farine di cereali senza rinunciare al gusto e alla
consistenza nei propri piatti.",da 10 a 12 mesi,,12,400g/25Kg,,"Energia 1430KJ-342Kcal -
Grassi 2,0g di cui acidi 
grassi saturi 0,5g -
Carboidrati 59,3 g di cui
zuccheri 3,5g - Fibre 19,2g
-Proteine 21 g -Sale 0,001g",Grado di umidità 14%,"Può contenere Glutine 
in quanto i macchinari utilizzati
lavorano anche cereali","Prodotto di Montagna 

Macinata a Pietra","legumi e
farina di legumi"
Ceci,"I nostri Ceci sono tutti coltivati nella nostra azienda in Appennino e lavorati direttamente da noi.Con la loro forma rotonda e il colore dorato,
i ceci sono un ingrediente dalle mille possibilità, perfetti per arricchire piatti semplici o preparazioni più elaborate, dalle zuppe rustiche alle insalate fresche, 
fino a piatti più sofisticati. sono un legume versatile e ricco di tradizione. Si adattano facilmente a ricette dolci e salate, arricchendo ogni piatto con il loro valore
 nutrizionale.Fonte di proteine vegetali e fibre.",da 12 a 18 mesi,,12,"500/kg/
(5Kg e 25Kg su
 ordinazione)",8058301310450,"Energia 1323 KJ-316Kcal -
Grassi 6,3g di cui acidi 
grassi saturi 0,5g -
Carboidrati 46,9 g di cui
zuccheri 3,7 g - Fibre 13g
-Proteine 20,9 g -Sale 0,01g",Grado di umidità 14%,"Può contenere Glutine 
in quanto i macchinari utilizzati
lavorano anche cereali",Prodotto di Montagna,"legumi e
farina di legumi"
Farina di Ceci,"La Farina di ceci viene macinata direttamente da noi nel nostro mulino. La Farina di ceci dal gusto pieno e leggermente tostato, è
 ideale per preparare piatti tradizionali come la farinata e la panissa, ma anche per impasti di pane, focacce, crepes e pastelle leggere per fritture croccanti. 
Ottima come addensante in zuppe e vellutate.Un ingrediente autentico per piatti dal gusto deciso e ricco di sostanza.",da 10 a 12 mesi,,12,400g/25Kg,8058301310436,"Energia 1495 KJ-357Kcal -
Grassi 6,2g di cui acidi 
grassi saturi 0,7g -
Carboidrati 56,1g di cui
zuccheri 10g - Fibre 10,5g
-Proteine 22,4g -Sale 0,01g",Grado di umidità 14%,"Può contenere Glutine 
in quanto i macchinari utilizzati
lavorano anche cereali","Prodotto di Montagna

Macinata a Pietra","legumi e
farina di legumi"
